"Codice","Descrizione","QtaGiac"
"ID020M100","Idrolato timo bio Re-Bottle spray (100 ml)","1097.00"
"IN002M150","Wondermask Hair - luce (150 ml)","0.00"
"IN003M150","Wondermask Hair - volume (150 ml)","0.00"
"IN005M150","Crema Ravvivaricci modellante - BABASSU BIO E PREBIOTICI (150 ml)","1563.00"
"IN006M050","Cristalli vegetali - ARGAN E LINO (50 ml)*","1245.00"
"IN009G050","Shampoo solido rinforzante - CALENDULA BIO E AMMINOACIDI (50 g)","3634.00"
"IN010G050","Shampoo solido purificante - BARDANA BIO E SPIRULINA (50 g)","1828.00"
"IN013G040","Balsamo solido ristrutturante - COCCO BIO E AMLA (40 g)","1962.00"
"IN014G040","Balsamo solido lucidante - LIMONE BIO E SPIRULINA (40 g)","2796.00"
"IN015M030","Lozione capelli detox (30 ml)","1475.00"
"IN016M030","Lozione capelli lenitiva (30 ml)","655.00"
"IN017M100","Scrub cuoio capelluto detox - MENTA BIO E ROSMARINO (100 ml)","18.00"
"IN018M200","Maschera ristrutturante - COCCO BIO E FITOCHERATINA (200 ml)","31.00"
"IN019M200","Maschera anti-crespo - ALOE BIO E IALURONICO (200 ml)","206.00"
"IN020M200","Maschera anti-giallo - MIRTILLO BIO E AMLA (200 ml)","681.00"
"KI024A000","Minikit viso luce","81.00"
"KI025A000","Minikit corpo purezza","50.00"
"KI026A000","Minikit Capelli","148.00"
"LB001M050","Bio pasta protettiva per il cambio (50 ml)","1757.00"
"LB002M150","Bio crema lenitiva viso e corpo (150 ml)","1567.00"
"LB003M030","mini Bio bagnetto corpo e capelli (30 ml)","0.00"
"LB004M200","Bio bagnetto corpo e capelli (190 ml)","2397.00"
"LB005M200","Bio detergente cambio pannolino (190 ml)","2565.00"
"LB008M030","Bio olio mamma e bimbo (30 ml)","769.00"
"LB009M500","MAXI Bio bagnetto corpo e capelli (500 ml)","0.00"
"LE001M040","Crema mani MANDORLE & FRUTTI ROSSI (40 ml)","105.00"
"LE003M040","Crema mani e unghie Fitocheratina, ricino e limone (40 ml)","3201.00"
"LE003M040n","Crema mani e unghie Fitocheratina, ricino e limone (40 ml) NUDO","4871.00"
"LE009M075","Crema corpo Glow - MANDORLE & FRUTTI ROSSI (splendi più che puoi!) (75 ml)","6.00"
"LE010M012","Lip gloss Glow - MANDORLE & FRUTTI ROSSI (12 ml)","233.00"
"LE010M012n","Lip gloss Glow - MANDORLE & FRUTTI ROSSI (12 ml) NUDO","0.00"
"LE011M200","Scrub gambe e piedi menta e mirtillo bio (200 ml)","841.00"
"LE012M100","Olio profumato corpo&capelli Biostorie (100 ml)","674.00"
"LR001M200","Detergente corpo Vaniglia e Carota - Dolce Schiuma (200 ml)","2799.00"
"LR002M200","Detergente corpo Iris e Zenzero - Succo di fiori (200 ml)","2205.00"
"LR003M050","Biodeo Soft - Iris, Bardana, Calendula (50 ml)","4962.00"
"LR004M050","Biodeo Fresh - Tea tree, Zenzero, Lime (50 ml)","6193.00"
"LR005M180","Crema corpo nutriente - Soffice di Karitè (180 ml)","2378.00"
"LR006M180","Crema corpo idratante - Sorbetto di fiori e radici (180 ml)","2158.00"
"LR007M075","Crema corpo - LIME & ZENZERO (ti auguro un futuro luminoso) (75 ml)","561.00"
"LR008M075","Scrub corpo - ZENZERO & ALBICOCCA (scacciando via ogni pensiero grigio) (75 ml) ","1986.00"
"LS011M125","Latte solare SPF 30 - alta protezione (125 ml)","0.00"
"LS012M125","Latte solare SPF 20 - media protezione (125 ml)","70.00"
"LS013M150","Crema doposole  - Balsamo per la pelle (150 ml)","0.00"
"LS014M150","Doccia Shampoo barca, mare e camping - Amico del Mare (150 ml)","0.00"
"LS015M125","Olio capelli protettivo 3 in 1 - Aloha (125 ml)","0.00"
"LS016M040","Crema viso protettiva anti-age SPF 30 (40 ml)","1645.00"
"LS016M040n","Crema viso protettiva anti-age SPF 30 (40 ml) NUDO","997.00"
"LS018M040","TRAVEL SIZE - Crema solare SPF 50 (40 ml)","0.00"
"LS018M040n","TRAVEL SIZE - Crema solare SPF 50 (40 ml) NUDO","0.00"
"LS019M125","Latte solare SPF 50+ - protezione molto alta (125 ml)","0.00"
"LU001M200","Doccia Shampoo All in One (200 ml)","2343.00"
"LU002M050","CBD Crema-gel viso Antiage (50 ml)","2481.00"
"LU003M150","Shampoo anti-caduta (150 ml)","1317.00"
"LU004M100","Biodeo spray canapa (100 ml)","1526.00"
"LU005M030","Lozione Anti-caduta (30 ml)","911.00"
"LU006M050","CBD Fluido Dopobarba (50 ml) ","2612.00"
"LU007M150","Mousse da barba (150 ml)","2476.00"
"MT001G010","Wondermask - Maschera in tessuto anti-age (10 ml)","7321.00"
"MT002G010","Wondermask - Maschera in tessuto purificante (10 ml)","2488.00"
"OE007M010","OE arancio dolce BIO (10 ml)","749.00"
"OE007M100","Olio essenziale di arancio dolce (100 ml)","593.00"
"OE013M100","Olio essenziale di citronella (100 ml)","208.00"
"OE014M100","Olio essenziale di eucalipto (100 ml)","792.00"
"OE017M010","OE lavanda BIO (10 ml)","357.00"
"OE017M100","Olio essenziale di lavanda hybrida (100 ml)","24.00"
"OE018M100","Olio essenziale di lemongrass (100 ml)","195.00"
"OE019M010","OE limone BIO (10 ml)","668.00"
"OE019M100","Olio essenziale di limone (100 ml)","286.00"
"OE020M010","Olio essenziale di Mandarino (10 ml)","234.00"
"OE021M010","OE menta BIO (10 ml)","776.00"
"OE021M100","Olio essenziale di menta (100 ml)","495.00"
"OE023M010","OE petit grain BIO (10 ml)","296.00"
"OE025M010","OE rosmarino BIO (10 ml)","346.00"
"OE025M100","Olio essenziale di rosmarino (100 ml)","962.00"
"OE027M010","OE tea tree BIO (10 ml)","1073.00"
"OE027M100","Olio essenziale di tea tree (100 ml)","1150.00"
"OE028M010","Olio essenziale di Timo (10 ml)","239.00"
"OE034M010","Olio essenziale di Ylang Ylang (10 ml)","210.00"
"OE035M010","Olio essenziale di Bergamotto (10 ml)","387.00"
"OE036M010","OE cannella (10 ml)","191.00"
"OE037M010","Tahiti - miscela di oli essenziali con note di cocco di vaniglia (10 ml)","441.00"
"OE038M010","Bocciolo - miscela di oli essenziali con note dolci e floreali (10 ml)","466.00"
"OV006M100","Olio di argan Bio (100 ml)","139.00"
"OV007L001","Olio di avocado (1 L)","66.00"
"OV007M100","Olio di avocado (100 ml)","646.00"
"OV008M100","Olio di baobab Bio (100 ml)","370.00"
"OV009M100","Olio di canapa Bio (100 ml)","477.00"
"OV010L001","Olio di cocco bio (1 L)","479.00"
"OV011L001","Olio di germe di grano (1 L)","68.00"
"OV011M100","Olio di germe di grano (100 ml)","449.00"
"OV012M100","Olio di jojoba (100 ml)","310.00"
"OV013M100","Olio di macadamia (100 ml)","670.00"
"OV014L001","Olio di mandorla (1 L)","739.00"
"OV014L005","Olio di mandorla (5 L)","56.00"
"OV014M100","Olio di mandorla (100 ml)","680.00"
"OV015L001","Olio di neem (1 L)","168.00"
"OV015M100","Olio di neem (100 ml)","1128.00"
"OV016L001","Olio di ricino (1 L)","189.00"
"OV016M100","Olio di ricino (100 ml)","1774.00"
"OV019M100","Olio di sesamo Bio (100 ml)","671.00"
