,Key,Quantità_x,Quantità_y,Differenza
13,ARANCIA E CANNELLA Lanterna - Sapone arancia e cannella & spugna cotone e canapa__STRUTTURA RICETTIVA__AUSTRIA,137.0,0.0,inf
15,ARTICOLO GENERICO__0__ITALIA,624.0,26.95401041685297,23.150543846708786
26,ARTICOLO GENERICO__LASAPONARIA E-COMMERCE__ITALIA,2588.0,40.26064039948202,64.28114342744772
33,ARTICOLO GENERICO__PRIVATE LABEL__ITALIA,16286.0,4143.398788869207,3.93058955458272
38,ARTICOLO GENERICO__STRUTTURA RICETTIVA__ITALIA,323.0,0.0,inf
46,Acidi della frutta AHA - Attivo capelli anticrespo spray (100 ml)__DISTRIBUTORI__ITALIA,234.0,37.89473664161857,6.175000032669585
58,Acidi della frutta AHA - Attivo capelli anticrespo spray (100 ml)__LASAPONARIA E-COMMERCE__ITALIA,3855.0,8.139352107433693,473.62492113828296
72,Acidi della frutta AHA - Attivo capelli anticrespo spray (100 ml)__PRIVATE LABEL__ITALIA,390.0,1.6538130826567715e-07,2358186690.4419675
73,Acidi della frutta AHA - Attivo capelli anticrespo spray (100 ml)__STRUTTURA RICETTIVA__AUSTRIA,127.0,8.540054820684686e-05,1487109.891758493
74,Acidi della frutta AHA - Attivo capelli anticrespo spray (100 ml)__STRUTTURA RICETTIVA__ITALIA,106.0,23.800047599976185,4.453772605064288
76,Acido ialuronico - multiplo peso molecolare (30 ml)__0__ITALIA,2276.0,179.02187338691965,12.713530234827145
77,Acido ialuronico - multiplo peso molecolare (30 ml)__ATTIVITA' CESSATA__ITALIA,102.0,6.8889334389339245,14.806355861058325
81,Acido ialuronico - multiplo peso molecolare (30 ml)__DISTRIBUTORI__ALBANIA,450.0,0.0,inf
82,Acido ialuronico - multiplo peso molecolare (30 ml)__DISTRIBUTORI__BULGARIA,117.0,0.0,inf
83,Acido ialuronico - multiplo peso molecolare (30 ml)__DISTRIBUTORI__CINA,360.0,0.0,inf
84,Acido ialuronico - multiplo peso molecolare (30 ml)__DISTRIBUTORI__GRECIA,120.0,0.0,inf
85,Acido ialuronico - multiplo peso molecolare (30 ml)__DISTRIBUTORI__GRECIA ,510.0,0.0,inf
88,Acido ialuronico - multiplo peso molecolare (30 ml)__DISTRIBUTORI__PORTOGALLO,1670.0,0.0,inf
89,Acido ialuronico - multiplo peso molecolare (30 ml)__DISTRIBUTORI__ROMANIA,315.0,0.0,inf
102,Acido ialuronico - multiplo peso molecolare (30 ml)__GAS__ITALIA,1073.0,273.0766067073572,3.9293003268854934
108,Acido ialuronico - multiplo peso molecolare (30 ml)__LASAPONARIA E-COMMERCE__ITALIA,34787.0,15.196374945390122,2289.164364857473
124,Acido ialuronico - multiplo peso molecolare (30 ml)__NEGOZI AL DETTAGLIO__LITUANIA,285.0,0.0,inf
125,Acido ialuronico - multiplo peso molecolare (30 ml)__NEGOZI AL DETTAGLIO__MALTA,147.0,0.0,inf
128,Acido ialuronico - multiplo peso molecolare (30 ml)__NEGOZI AL DETTAGLIO__REP.SAN MARINO,141.0,21.223016217196868,6.643730493206175
130,Acido ialuronico - multiplo peso molecolare (30 ml)__NEGOZI AL DETTAGLIO__SVIZZERA,141.0,8.30918857153522,16.969165976449684
132,Acido ialuronico - multiplo peso molecolare (30 ml)__NON PIU' CLIENTE__0,196.0,9.265843073711298e-09,21152959146.921432
136,Acido ialuronico - multiplo peso molecolare (30 ml)__PRIVATE LABEL__GRAN BRETAGNA,360.0,3.799878868108144e-09,94739862110.19254
137,Acido ialuronico - multiplo peso molecolare (30 ml)__PRIVATE LABEL__ITALIA,5171.0,835.2746633823842,6.190777987997876
139,Acido ialuronico - multiplo peso molecolare (30 ml)__STRUTTURA RICETTIVA__AUSTRIA,679.0,78.05409314545557,8.699095366269495
140,Acido ialuronico - multiplo peso molecolare (30 ml)__STRUTTURA RICETTIVA__ITALIA,486.0,56.57547151242411,8.59029517576841
156,Acqua attiva antiossidante Melagrana (50 ml)__DISTRIBUTORI__ITALIA,241.0,0.0,inf
158,Acqua attiva antiossidante Melagrana (50 ml)__E-RETAILERS__AUSTRIA,120.0,20.000000000000288,5.999999999999914
163,Acqua attiva antiossidante Melagrana (50 ml)__LASAPONARIA E-COMMERCE__ITALIA,629.0,46.999999533694975,13.382978856181921
170,Acqua attiva antiossidante Melagrana (50 ml)__PRIVATE LABEL__ITALIA,106.0,30.9999684058619,3.4193583236025513
178,Acqua attiva lenitiva Melissa (50 ml)__DISTRIBUTORI__ITALIA,217.0,0.0,inf
190,Acqua attiva lenitiva Melissa (50 ml)__LASAPONARIA E-COMMERCE__ITALIA,489.0,160.73439898455928,3.0422859269033946
213,"Acqua micellare in polvere viso occhi labbra (8,5g)__LASAPONARIA E-COMMERCE__ITALIA",2576.0,2.704680968289177e-06,952422866.2094024
223,"Acqua micellare in polvere viso occhi labbra (8,5g)__PRIVATE LABEL__ITALIA",288.0,0.00016741615638802778,1720264.078530687
239,"Acqua micellare rosa, fiordaliso e prebiotici (200 ml)__E-RETAILERS__AUSTRIA",108.0,0.0,inf
241,"Acqua micellare rosa, fiordaliso e prebiotici (200 ml)__E-RETAILERS__GRAN BRETAGNA",180.0,0.0,inf
249,"Acqua micellare rosa, fiordaliso e prebiotici (200 ml)__LASAPONARIA E-COMMERCE__ITALIA",4002.0,74.29508052997078,53.86628524328183
264,"Acqua micellare rosa, fiordaliso e prebiotici (200 ml)__PRIVATE LABEL__GRAN BRETAGNA",108.0,7.379074358255706e-33,1.4635982069914993e+34
265,"Acqua micellare rosa, fiordaliso e prebiotici (200 ml)__PRIVATE LABEL__ITALIA",410.0,5.9863676983329205e-33,6.848894365679818e+34
266,"Acqua micellare rosa, fiordaliso e prebiotici (200 ml)__STRUTTURA RICETTIVA__AUSTRIA",154.0,0.008904588451171399,17294.45452133628
279,Amido di riso italiano (30 g)__BIOSTORIE__ITALIA,2107.0,636.0545585927302,3.3126089130808754
281,Amido di riso italiano (30 g)__CATENA DI NEGOZI__ITALIA,525.0,18.061924510321305,29.066670038400062
282,Amido di riso italiano (30 g)__DISTRIBUTORI__ITALIA,952.0,45.0,21.155555555555555
284,Amido di riso italiano (30 g)__DISTRIBUTORI__ROMANIA,256.0,0.0,inf
288,Amido di riso italiano (30 g)__GAS__ITALIA,190.0,22.58632331466286,8.412170380854041
290,Amido di riso italiano (30 g)__LASAPONARIA E-COMMERCE__ITALIA,1770.0,5.303641097748023e-06,333732989.7288033
298,Amido di riso italiano (30 g)__PRIVATE LABEL__ITALIA,267.0,1.5107954481796555e-09,176728094012.79706
307,Applicatore biodeo roll on refill - verde salvia + scatolina__DISTRIBUTORI__REPUBBLICA CECA,768.0,245.22444572207908,3.1318247972324897
312,Applicatore biodeo roll on refill - verde salvia + scatolina__E-RETAILERS__ITALIA,664.0,83.20021274886619,7.9807488233742365
321,Applicatore biodeo roll on refill - verde salvia + scatolina__NEGOZI AL DETTAGLIO__ITALIA,4846.0,963.0082176922896,5.032148128094629
327,Applicatore biodeo roll on refill - verde salvia + scatolina__STRUTTURA RICETTIVA__ITALIA,288.0,16.70003339998334,17.24547449110415
333,Applicatore deodorante bianco - Kiima__LASAPONARIA E-COMMERCE__ITALIA,427.0,3.2633e-319,inf
345,Applicatore deodorante grigio - Kiima__DISTRIBUTORI__REPUBBLICA CECA,151.0,0.0,inf
349,Applicatore deodorante grigio - Kiima__LASAPONARIA E-COMMERCE__ITALIA,461.0,5.755450542626334e-82,8.009798652350783e+83
353,Applicatore deodorante grigio - Kiima__NEGOZI AL DETTAGLIO__ITALIA,1080.0,268.37568690275066,4.024209541721087
363,Applicatore deodorante rosa antico - Kiima__DISTRIBUTORI__ITALIA,133.0,0.0,inf
364,Applicatore deodorante rosa antico - Kiima__DISTRIBUTORI__REPUBBLICA CECA,551.0,90.05415534240234,6.118540537135654
373,Applicatore deodorante rosa antico - Kiima__LASAPONARIA E-COMMERCE__ITALIA,586.0,139.9513195420174,4.187170238320376
381,Applicatore deodorante rosa antico - Kiima__PRIVATE LABEL__ITALIA,117.0,23.7566490583537,4.924937002378226
388,Applicatore deodorante verde salvia - Kiima__DISTRIBUTORI__ITALIA,171.0,0.0,inf
390,Applicatore deodorante verde salvia - Kiima__DISTRIBUTORI__REPUBBLICA CECA,151.0,0.0,inf
395,Applicatore deodorante verde salvia - Kiima__LASAPONARIA E-COMMERCE__ITALIA,937.0,302.7084506363411,3.0953876511550225
403,Applicatore deodorante verde salvia - Kiima__PRIVATE LABEL__ITALIA,147.0,34.35710027905799,4.2785915809548785
414,Argilla bianca (100 g)__LASAPONARIA E-COMMERCE__ITALIA,993.0,117.57688977146742,8.4455372304037
425,Argilla verde (100 g)__BIOSTORIE__ITALIA,661.0,147.56991638500244,4.479232733828245
427,Argilla verde (100 g)__DISTRIBUTORI__ITALIA,276.0,0.0,inf
434,Argilla verde (100 g)__LASAPONARIA E-COMMERCE__ITALIA,765.0,1.700560773758546,449.8516088367792
454,BASE DETERGENTE PER AUTOPRODUZIONE (DIY soap)__LASAPONARIA E-COMMERCE__ITALIA,300.0,0.0,inf
455,BASE DETERGENTE PER AUTOPRODUZIONE (DIY soap)__PRIVATE LABEL__ITALIA,600.0,165.0172147925733,3.635984286573981
469,BB cream BEIGE (30 ml)__LASAPONARIA E-COMMERCE__ITALIA,318.0,38.24411563691308,8.315004666837362
475,BB cream BEIGE (30 ml)__PRIVATE LABEL__ITALIA,110.0,3.9237247925682786e-07,280345859.6493445
485,BB cream FAIR (30 ml)__DISTRIBUTORI__REPUBBLICA CECA,125.0,0.0,inf
486,BB cream FAIR (30 ml)__DISTRIBUTORI__ROMANIA,101.0,0.0,inf
494,BB cream FAIR (30 ml)__LASAPONARIA E-COMMERCE__ITALIA,417.0,0.0005435479920539086,767181.5664782041
503,BB cream FAIR (30 ml)__PRIVATE LABEL__ITALIA,120.0,0.0021049409475069358,57008.72518163819
514,BB cream SAND (30 ml)__DISTRIBUTORI__REPUBBLICA CECA,250.0,0.0,inf
527,BB cream SAND (30 ml)__LASAPONARIA E-COMMERCE__ITALIA,722.0,1.0677567451363833e-13,6761839747570781.0
535,BB cream SAND (30 ml)__PRIVATE LABEL__ITALIA,150.0,3.200000000000018,46.87499999999974
545,Bagnodoccia mediterraneo (200 ml)__DISTRIBUTORI__BULGARIA,170.0,36.13981442906135,4.7039533181248645
546,Bagnodoccia mediterraneo (200 ml)__DISTRIBUTORI__ITALIA,1546.0,157.31256932118583,9.8275681763453
547,Bagnodoccia mediterraneo (200 ml)__DISTRIBUTORI__REPUBBLICA CECA,1458.0,0.0,inf
548,Bagnodoccia mediterraneo (200 ml)__DISTRIBUTORI__ROMANIA,191.0,0.0,inf
557,Bagnodoccia mediterraneo (200 ml)__GAS__ITALIA,306.0,71.4429667684233,4.283136799062036
559,Bagnodoccia mediterraneo (200 ml)__LASAPONARIA E-COMMERCE__ITALIA,2352.0,0.018814710347408198,125008.56811351323
571,Bagnodoccia mediterraneo (200 ml)__PRIVATE LABEL__ITALIA,258.0,79.30926020077487,3.2530879666114862
573,Bagnodoccia mediterraneo (200 ml)__STRUTTURA RICETTIVA__ITALIA,112.0,31.654216847279365,3.5382331693866007
576,Balsamo Moringa & girasole (150 ml)__BIOSTORIE__ITALIA,2900.0,949.2902599489124,3.054913889199778
579,Balsamo Moringa & girasole (150 ml)__DISTRIBUTORI__CINA,180.0,0.0,inf
580,Balsamo Moringa & girasole (150 ml)__DISTRIBUTORI__ITALIA,955.0,31.495293708241924,30.321990607443944
582,Balsamo Moringa & girasole (150 ml)__DISTRIBUTORI__REPUBBLICA CECA,1140.0,0.0,inf
583,Balsamo Moringa & girasole (150 ml)__DISTRIBUTORI__ROMANIA,113.0,0.0,inf
584,Balsamo Moringa & girasole (150 ml)__DISTRIBUTORI__SPAGNA,300.0,0.0,inf
594,Balsamo Moringa & girasole (150 ml)__GAS__ITALIA,338.0,50.24578179112366,6.726932847917405
597,Balsamo Moringa & girasole (150 ml)__LASAPONARIA E-COMMERCE__ITALIA,2647.0,0.05447428355158639,48591.73590586699
604,Balsamo Moringa & girasole (150 ml)__NEGOZI AL DETTAGLIO__ITALIA,8352.0,2233.0125301860917,3.7402387524014356
612,Balsamo Moringa & girasole (150 ml)__PRIVATE LABEL__ITALIA,217.0,33.461017283512945,6.485158480430336
614,Balsamo Moringa & girasole (150 ml)__STRUTTURA RICETTIVA__ITALIA,169.0,6.892521727298354,24.51932785799756
621,Balsamo Moringa & limone (150 ml)__DISTRIBUTORI__ITALIA,670.0,3.1267259473456805,214.281651568719
622,Balsamo Moringa & limone (150 ml)__DISTRIBUTORI__REPUBBLICA CECA,1140.0,0.0,inf
